Sector,Institution,Discipline Area,Subject Field,Level of Degree or Certificate,Awards in FY 2002,Awards in FY 2003,Awards in FY 2004,Awards in FY 2005,Awards in FY 2006,Awards in FY 2007,Awards in FY 2008,Awards in FY 2009,Awards in FY 2010,Awards in FY 2011
Community Colleges,North Central State College,Engineering,Computer Engineering Technology,Less than One-Year Award,0,0,0,0,0,0,0,0,1,0
Community Colleges,North Central State College,Engineering,Electrical Engineering Technology,Associate Degree,11,23,21,11,6,14,6,7,9,13
Community Colleges,North Central State College,Engineering,Industrial and Manufacturing Technology,Associate Degree,8,17,10,0,0,0,0,0,0,0
Community Colleges,North Central State College,Engineering,Industrial and Manufacturing Technology,Less than One-Year Award,1,2,0,0,0,0,0,0,4,0
Community Colleges,North Central State College,Engineering,Mechanical Engineering Technology,Associate Degree,8,25,12,18,13,14,7,3,8,8
Community Colleges,North Central State College,Engineering,Other Engineering,Less than One-Year Award,0,0,0,0,0,0,0,0,7,0
Community Colleges,North Central State College,Engineering,Other Engineering Technology,Associate Degree,11,0,1,2,4,1,0,4,0,0
Community Colleges,North Central State College,Engineering,Other Engineering Technology,Less than One-Year Award,5,2,2,2,0,0,0,0,0,0
Community Colleges,North Central State College,Health,General Health/Public Health,Less than One-Year Award,0,27,6,3,0,0,0,0,0,0
Community Colleges,North Central State College,Health,Health Aides and Assisting,Less than One-Year Award,0,0,0,0,15,7,0,7,0,0
Community Colleges,North Central State College,Health,Licensed Practical Nurse,Associate Degree,3,2,0,0,0,0,0,0,0,0
Community Colleges,North Central State College,Health,Licensed Practical Nurse,Less than One-Year Award,0,52,55,55,53,57,61,46,0,0
Community Colleges,North Central State College,Health,Licensed Practical Nurse,One to less than Two-Year Award,53,0,0,0,0,0,0,0,47,37
Community Colleges,North Central State College,Health,Mental Health Services and Therapy,Associate Degree,25,18,20,18,34,40,38,16,27,22
Community Colleges,North Central State College,Health,Mental Health Services and Therapy,Less than One-Year Award,6,11,8,8,6,23,13,1,8,1
Community Colleges,North Central State College,Health,Other Health,Associate Degree,0,0,0,0,0,0,0,0,0,1
Community Colleges,North Central State College,Health,Physical Therapy,Associate Degree,9,4,13,16,16,11,24,20,25,23
Community Colleges,North Central State College,Health,Radiology and Sonography,Associate Degree,8,13,13,16,14,12,16,13,13,11
Community Colleges,North Central State College,Health,Registered Nurse,Associate Degree,56,63,75,65,81,81,87,75,74,92
Community Colleges,North Central State College,Health,Rehabilitation Services,Associate Degree,23,7,0,0,15,14,25,0,0,0
Community Colleges,North Central State College,Health,Rehabilitation Services,Less than One-Year Award,0,14,13,17,11,10,15,0,0,0
Community Colleges,North Central State College,Health,Respiratory Therapy,Associate Degree,7,8,12,15,18,11,12,12,13,17
Community Colleges,North Central State College,Health,Respiratory Therapy,Less than One-Year Award,0,0,0,0,0,1,0,0,0,0
Community Colleges,North Central State College,Law,Legal Administrative,Associate Degree,0,0,0,13,7,15,15,14,15,22
Community Colleges,North Central State College,Natural Science & Mathematics,Biological and Biomedical Sciences,Associate Degree,0,0,0,0,0,0,0,0,0,6
Community Colleges,North Central State College,Natural Science & Mathematics,Computer Science,Associate Degree,25,32,16,30,38,28,26,27,15,25
Community Colleges,North Central State College,Natural Science & Mathematics,Computer Science,Less than One-Year Award,12,28,14,12,17,18,2,2,12,13
Community Colleges,North Central State College,Services,Protective Services,Associate Degree,25,35,31,41,41,32,43,31,33,30
Community Colleges,North Central State College,Services,Protective Services,Less than One-Year Award,0,0,0,0,0,0,0,0,1,0
Community Colleges,North Central State College,Social & Behavioral Sciences,Family and Consumer Studies,Associate Degree,23,26,26,22,11,20,6,7,7,11
Community Colleges,North Central State College,Social & Behavioral Sciences,Family and Consumer Studies,Less than One-Year Award,0,0,0,0,0,1,0,0,0,0
Community Colleges,North Central State College,Social & Behavioral Sciences,Interdisciplinary Social Sciences,Associate Degree,8,8,4,7,0,0,0,19,20,24
Community Colleges,North Central State College,Trades and Repair Technicians,Communications Technology,Associate Degree,0,2,6,7,0,0,0,0,1,4
Community Colleges,North Central State College,Trades and Repair Technicians,Communications Technology,Less than One-Year Award,0,0,0,0,0,0,0,0,7,5
Community Colleges,North Central State College,Trades and Repair Technicians,Production Technology,Associate Degree,2,1,5,2,3,0,1,2,0,0
Community Colleges,Northwest State Community College,Arts & Humanities,Design,Associate Degree,0,3,7,9,11,3,15,1,5,13
Community Colleges,Northwest State Community College,Arts & Humanities,Liberal and General Studies,Associate Degree,0,0,0,0,0,0,0,0,28,30
Community Colleges,Northwest State Community College,Business,Accounting,Associate Degree,22,24,30,16,16,22,25,15,18,22
Community Colleges,Northwest State Community College,Business,Accounting,One to less than Two-Year Award,3,3,4,5,2,6,3,9,5,1
Community Colleges,Northwest State Community College,Business,Administrative and Secretarial,Associate Degree,15,8,10,13,12,12,16,23,23,11
Community Colleges,Northwest State Community College,Business,Administrative and Secretarial,One to less than Two-Year Award,3,0,3,7,6,3,1,5,4,12
Community Colleges,Northwest State Community College,Business,"Business, Other",Associate Degree,7,3,3,5,2,6,8,0,0,2
Community Colleges,Northwest State Community College,Business,Finance,Associate Degree,0,0,0,0,0,0,0,0,0,4
Community Colleges,Northwest State Community College,Business,"General Sales, Merchandising and Related Marketing Operations",Associate Degree,0,0,0,1,1,0,0,0,0,0
Community Colleges,Northwest State Community College,Business,Logistics,Associate Degree,0,0,0,0,0,0,0,0,0,1
Community Colleges,Northwest State Community College,Business,Management,Associate Degree,34,23,25,30,25,29,32,44,35,38
Community Colleges,Northwest State Community College,Business,Marketing,Associate Degree,4,1,5,6,1,1,1,0,0,6
Community Colleges,Northwest State Community College,Business,Service Business,One to less than Two-Year Award,0,2,1,1,3,4,1,5,4,4
Community Colleges,Northwest State Community College,Education,"Education, General",Associate Degree,36,27,40,29,29,23,35,45,0,0
Community Colleges,Northwest State Community College,Education,"Education, Other",Associate Degree,0,0,0,0,0,0,0,0,0,2
Community Colleges,Northwest State Community College,Education,Elementary and Early Education,Associate Degree,0,0,0,0,0,0,0,0,0,9
Community Colleges,Northwest State Community College,Education,Specialized Teacher Education,Associate Degree,0,0,0,0,0,1,4,2,0,0
Community Colleges,Northwest State Community College,Engineering,Automotive Engineering Technology,Associate Degree,0,0,0,0,0,3,1,1,0,0
